Key,Game_Date,Game_Month,Game_Day_of_Week,Team,Opponent,Opponent_Division,Game_Result
71,2016-06-22,June,Wednesday,Boston Red Sox,Chicago White Sox,American League (AL) Central,0
72,2016-06-23,June,Thursday,Boston Red Sox,Chicago White Sox,American League (AL) Central,1
73,2016-06-24,June,Friday,Boston Red Sox,Texas Rangers,American League (AL) Central,1
74,2016-06-25,June,Saturday,Boston Red Sox,Texas Rangers,American League (AL) Central,0
75,2016-06-26,June,Sunday,Boston Red Sox,Texas Rangers,American League (AL) Central,0
76,2016-06-27,June,Monday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,0
77,2016-06-28,June,Tuesday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1
78,2016-06-29,June,Wednesday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,0
79,2016-07-01,July,Friday,Boston Red Sox,Los Angeles Angels,American League (AL) West,1
80,2016-07-02,July,Saturday,Boston Red Sox,Los Angeles Angels,American League (AL) West,0
81,2016-07-03,July,Sunday,Boston Red Sox,Los Angeles Angels,American League (AL) West,1
82,2016-07-04,July,Monday,Boston Red Sox,Texas Rangers,American League (AL) Central,1
83,2016-07-05,July,Tuesday,Boston Red Sox,Texas Rangers,American League (AL) Central,0
84,2016-07-06,July,Wednesday,Boston Red Sox,Texas Rangers,American League (AL) Central,1
85,2016-07-08,July,Friday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1
86,2016-07-09,July,Saturday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1
87,2016-07-10,July,Sunday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1
88,2016-07-15,July,Friday,Boston Red Sox,New York Yankees,American League (AL) East,1
89,2016-07-16,July,Saturday,Boston Red Sox,New York Yankees,American League (AL) East,1
90,2016-07-17,July,Sunday,Boston Red Sox,New York Yankees,American League (AL) East,0
91,2016-07-19,July,Tuesday,Boston Red Sox,San Francisco Giants,National League (NL) West,1
92,2016-07-20,July,Wednesday,Boston Red Sox,San Francisco Giants,National League (NL) West,1
93,2016-07-21,July,Thursday,Boston Red Sox,Minnesota Twins,American League (AL) Central,1
94,2016-07-22,July,Friday,Boston Red Sox,Minnesota Twins,American League (AL) Central,0
95,2016-07-23,July,Saturday,Boston Red Sox,Minnesota Twins,American League (AL) Central,0
96,2016-07-24,July,Sunday,Boston Red Sox,Minnesota Twins,American League (AL) Central,1
97,2016-07-25,July,Monday,Boston Red Sox,Detroit Tigers,American League (AL) Central,0
98,2016-07-26,July,Tuesday,Boston Red Sox,Detroit Tigers,American League (AL) Central,0
99,2016-07-27,July,Wednesday,Boston Red Sox,Detroit Tigers,American League (AL) Central,0
100,2016-07-28,July,Thursday,Boston Red Sox,Los Angeles Angels,American League (AL) West,0
101,2016-07-29,July,Friday,Boston Red Sox,Los Angeles Angels,American League (AL) West,1
102,2016-07-30,July,Saturday,Boston Red Sox,Los Angeles Angels,American League (AL) West,0
103,2016-07-31,July,Sunday,Boston Red Sox,Los Angeles Angels,American League (AL) West,1
104,2016-08-01,August,Monday,Boston Red Sox,Seattle Mariners,American League (AL) Central,1
105,2016-08-02,August,Tuesday,Boston Red Sox,Seattle Mariners,American League (AL) Central,0
106,2016-08-03,August,Wednesday,Boston Red Sox,Seattle Mariners,American League (AL) Central,0
107,2016-08-04,August,Thursday,Boston Red Sox,Seattle Mariners,American League (AL) Central,1
108,2016-08-05,August,Friday,Boston Red Sox,Los Angeles Dodgers,National League (NL) West,1
109,2016-08-06,August,Saturday,Boston Red Sox,Los Angeles Dodgers,National League (NL) West,0
110,2016-08-07,August,Sunday,Boston Red Sox,Los Angeles Dodgers,National League (NL) West,0
111,2016-08-09,August,Tuesday,Boston Red Sox,New York Yankees,American League (AL) East,1
112,2016-08-10,August,Wednesday,Boston Red Sox,New York Yankees,American League (AL) East,0
113,2016-08-11,August,Thursday,Boston Red Sox,New York Yankees,American League (AL) East,0
114,2016-08-12,August,Friday,Boston Red Sox,Arizona Diamondbacks,National League (NL) West,1
115,2016-08-13,August,Saturday,Boston Red Sox,Arizona Diamondbacks,National League (NL) West,1
116,2016-08-14,August,Sunday,Boston Red Sox,Arizona Diamondbacks,National League (NL) West,1
117,2016-08-15,August,Monday,Boston Red Sox,Cleveland Guardians (Indians),American League (AL) Central,1
118,2016-08-16,August,Tuesday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
119,2016-08-17,August,Wednesday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
120,2016-08-18,August,Thursday,Boston Red Sox,Detroit Tigers,American League (AL) Central,0
121,2016-08-19,August,Friday,Boston Red Sox,Detroit Tigers,American League (AL) Central,1
122,2016-08-20,August,Saturday,Boston Red Sox,Detroit Tigers,American League (AL) Central,1
123,2016-08-21,August,Sunday,Boston Red Sox,Detroit Tigers,American League (AL) Central,0
124,2016-08-22,August,Monday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1
125,2016-08-23,August,Tuesday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1
126,2016-08-24,August,Wednesday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,0
127,2016-08-25,August,Thursday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,0
128,2016-08-26,August,Friday,Boston Red Sox,Kansas City Royals,American League (AL) West,0
129,2016-08-27,August,Saturday,Boston Red Sox,Kansas City Royals,American League (AL) West,1
130,2016-08-28,August,Sunday,Boston Red Sox,Kansas City Royals,American League (AL) West,0
131,2016-08-29,August,Monday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1
132,2016-08-30,August,Tuesday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,0
133,2016-08-31,August,Wednesday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1
134,2016-09-02,September,Friday,Boston Red Sox,Oakland Athletics,American League (AL) West,1
135,2016-09-03,September,Saturday,Boston Red Sox,Oakland Athletics,American League (AL) West,1
136,2016-09-04,September,Sunday,Boston Red Sox,Oakland Athletics,American League (AL) West,0
137,2016-09-05,September,Monday,Boston Red Sox,San Diego Padres,National League (NL) West,0
138,2016-09-06,September,Tuesday,Boston Red Sox,San Diego Padres,National League (NL) West,1
139,2016-09-07,September,Wednesday,Boston Red Sox,San Diego Padres,National League (NL) West,1
140,2016-09-09,September,Friday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
141,2016-09-10,September,Saturday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,0
