Key,Game_Date,Game_Month,Game_Day_of_Week,Team,Opponent,Opponent_Division,Game_Result
307,2017-09-13,September,Wednesday,Boston Red Sox,Oakland Athletics,American League (AL) West,0
308,2017-09-14,September,Thursday,Boston Red Sox,Oakland Athletics,American League (AL) West,1
309,2017-09-15,September,Friday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1
310,2017-09-16,September,Saturday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1
311,2017-09-17,September,Sunday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,0
312,2017-09-18,September,Monday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
313,2017-09-19,September,Tuesday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
314,2017-09-20,September,Wednesday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
315,2017-09-22,September,Friday,Boston Red Sox,Cincinnati Reds,National League (NL) Central,1
316,2017-09-23,September,Saturday,Boston Red Sox,Cincinnati Reds,National League (NL) Central,1
317,2017-09-24,September,Sunday,Boston Red Sox,Cincinnati Reds,National League (NL) Central,1
318,2017-09-25,September,Monday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,0
319,2017-09-26,September,Tuesday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,0
320,2017-09-27,September,Wednesday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
321,2017-09-28,September,Thursday,Boston Red Sox,Houston Astros,American League (AL) Central,0
322,2017-09-29,September,Friday,Boston Red Sox,Houston Astros,American League (AL) Central,0
323,2017-09-30,September,Saturday,Boston Red Sox,Houston Astros,American League (AL) Central,1
324,2017-10-01,October,Sunday,Boston Red Sox,Houston Astros,American League (AL) Central,0
325,2018-03-29,March,Thursday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,0
326,2018-03-30,March,Friday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1
327,2018-03-31,March,Saturday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1
328,2018-04-01,April,Sunday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1
329,2018-04-02,April,Monday,Boston Red Sox,Miami Marlins,National League (NL) East,1
330,2018-04-03,April,Tuesday,Boston Red Sox,Miami Marlins,National League (NL) East,1
331,2018-04-05,April,Thursday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1
332,2018-04-07,April,Saturday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1
333,2018-04-08,April,Sunday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1
334,2018-04-10,April,Tuesday,Boston Red Sox,New York Yankees,American League (AL) East,1
335,2018-04-11,April,Wednesday,Boston Red Sox,New York Yankees,American League (AL) East,0
336,2018-04-12,April,Thursday,Boston Red Sox,New York Yankees,American League (AL) East,1
337,2018-04-13,April,Friday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
338,2018-04-14,April,Saturday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
339,2018-04-15,April,Sunday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
340,2018-04-17,April,Tuesday,Boston Red Sox,Los Angeles Angels,American League (AL) West,1
341,2018-04-18,April,Wednesday,Boston Red Sox,Los Angeles Angels,American League (AL) West,1
342,2018-04-19,April,Thursday,Boston Red Sox,Los Angeles Angels,American League (AL) West,1
343,2018-04-20,April,Friday,Boston Red Sox,Oakland Athletics,American League (AL) West,1
344,2018-04-21,April,Saturday,Boston Red Sox,Oakland Athletics,American League (AL) West,0
345,2018-04-22,April,Sunday,Boston Red Sox,Oakland Athletics,American League (AL) West,0
346,2018-04-24,April,Tuesday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,0
347,2018-04-25,April,Wednesday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
348,2018-04-26,April,Thursday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
349,2018-04-27,April,Friday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,0
350,2018-04-28,April,Saturday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,0
351,2018-04-29,April,Sunday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1
352,2018-04-30,April,Monday,Boston Red Sox,Kansas City Royals,American League (AL) West,1
353,2018-05-01,May,Tuesday,Boston Red Sox,Kansas City Royals,American League (AL) West,0
354,2018-05-02,May,Wednesday,Boston Red Sox,Kansas City Royals,American League (AL) West,1
355,2018-05-03,May,Thursday,Boston Red Sox,Texas Rangers,American League (AL) Central,0
356,2018-05-04,May,Friday,Boston Red Sox,Texas Rangers,American League (AL) Central,1
357,2018-05-05,May,Saturday,Boston Red Sox,Texas Rangers,American League (AL) Central,1
358,2018-05-06,May,Sunday,Boston Red Sox,Texas Rangers,American League (AL) Central,1
359,2018-05-08,May,Tuesday,Boston Red Sox,New York Yankees,American League (AL) East,0
360,2018-05-09,May,Wednesday,Boston Red Sox,New York Yankees,American League (AL) East,0
361,2018-05-10,May,Thursday,Boston Red Sox,New York Yankees,American League (AL) East,1
362,2018-05-11,May,Friday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,0
363,2018-05-12,May,Saturday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
364,2018-05-13,May,Sunday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
365,2018-05-14,May,Monday,Boston Red Sox,Oakland Athletics,American League (AL) West,0
366,2018-05-15,May,Tuesday,Boston Red Sox,Oakland Athletics,American League (AL) West,0
367,2018-05-16,May,Wednesday,Boston Red Sox,Oakland Athletics,American League (AL) West,1
368,2018-05-17,May,Thursday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
369,2018-05-18,May,Friday,Boston Red Sox,Baltimore Orioles,American League (AL) East,0
370,2018-05-19,May,Saturday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
371,2018-05-20,May,Sunday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
372,2018-05-22,May,Tuesday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1
373,2018-05-23,May,Wednesday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1
374,2018-05-24,May,Thursday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,0
375,2018-05-25,May,Friday,Boston Red Sox,Atlanta Braves,National League (NL) East,1
376,2018-05-26,May,Saturday,Boston Red Sox,Atlanta Braves,National League (NL) East,1
377,2018-05-27,May,Sunday,Boston Red Sox,Atlanta Braves,National League (NL) East,0
378,2018-05-28,May,Monday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
379,2018-05-29,May,Tuesday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
380,2018-05-30,May,Wednesday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
381,2018-05-31,May,Thursday,Boston Red Sox,Houston Astros,American League (AL) Central,0
382,2018-06-01,June,Friday,Boston Red Sox,Houston Astros,American League (AL) Central,0
383,2018-06-02,June,Saturday,Boston Red Sox,Houston Astros,American League (AL) Central,1
384,2018-06-03,June,Sunday,Boston Red Sox,Houston Astros,American League (AL) Central,1
385,2018-06-05,June,Tuesday,Boston Red Sox,Detroit Tigers,American League (AL) Central,1
386,2018-06-06,June,Wednesday,Boston Red Sox,Detroit Tigers,American League (AL) Central,1
387,2018-06-07,June,Thursday,Boston Red Sox,Detroit Tigers,American League (AL) Central,0
388,2018-06-08,June,Friday,Boston Red Sox,Chicago White Sox,American League (AL) Central,0
389,2018-06-09,June,Saturday,Boston Red Sox,Chicago White Sox,American League (AL) Central,1
390,2018-06-10,June,Sunday,Boston Red Sox,Chicago White Sox,American League (AL) Central,0
391,2018-06-11,June,Monday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
392,2018-06-12,June,Tuesday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
393,2018-06-13,June,Wednesday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
394,2018-06-14,June,Thursday,Boston Red Sox,Seattle Mariners,American League (AL) Central,1
395,2018-06-15,June,Friday,Boston Red Sox,Seattle Mariners,American League (AL) Central,0
396,2018-06-16,June,Saturday,Boston Red Sox,Seattle Mariners,American League (AL) Central,0
397,2018-06-17,June,Sunday,Boston Red Sox,Seattle Mariners,American League (AL) Central,1
398,2018-06-19,June,Tuesday,Boston Red Sox,Minnesota Twins,American League (AL) Central,0
399,2018-06-20,June,Wednesday,Boston Red Sox,Minnesota Twins,American League (AL) Central,0
400,2018-06-21,June,Thursday,Boston Red Sox,Minnesota Twins,American League (AL) Central,1
401,2018-06-22,June,Friday,Boston Red Sox,Seattle Mariners,American League (AL) Central,1
402,2018-06-23,June,Saturday,Boston Red Sox,Seattle Mariners,American League (AL) Central,0
403,2018-06-24,June,Sunday,Boston Red Sox,Seattle Mariners,American League (AL) Central,1
404,2018-06-26,June,Tuesday,Boston Red Sox,Los Angeles Angels,American League (AL) West,1
405,2018-06-27,June,Wednesday,Boston Red Sox,Los Angeles Angels,American League (AL) West,1
406,2018-06-28,June,Thursday,Boston Red Sox,Los Angeles Angels,American League (AL) West,1
407,2018-06-29,June,Friday,Boston Red Sox,New York Yankees,American League (AL) East,0
408,2018-06-30,June,Saturday,Boston Red Sox,New York Yankees,American League (AL) East,1
409,2018-07-01,July,Sunday,Boston Red Sox,New York Yankees,American League (AL) East,0
410,2018-07-02,July,Monday,Boston Red Sox,Washington Nationals,National League (NL) East,1
411,2018-07-03,July,Tuesday,Boston Red Sox,Washington Nationals,National League (NL) East,1
412,2018-07-04,July,Wednesday,Boston Red Sox,Washington Nationals,National League (NL) East,1
413,2018-07-06,July,Friday,Boston Red Sox,Kansas City Royals,American League (AL) West,1
414,2018-07-07,July,Saturday,Boston Red Sox,Kansas City Royals,American League (AL) West,1
415,2018-07-08,July,Sunday,Boston Red Sox,Kansas City Royals,American League (AL) West,1
416,2018-07-09,July,Monday,Boston Red Sox,Texas Rangers,American League (AL) Central,1
417,2018-07-10,July,Tuesday,Boston Red Sox,Texas Rangers,American League (AL) Central,1
418,2018-07-11,July,Wednesday,Boston Red Sox,Texas Rangers,American League (AL) Central,1
419,2018-07-12,July,Thursday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
420,2018-07-13,July,Friday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,0
421,2018-07-14,July,Saturday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
422,2018-07-15,July,Sunday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
423,2018-07-20,July,Friday,Boston Red Sox,Detroit Tigers,American League (AL) Central,1
424,2018-07-21,July,Saturday,Boston Red Sox,Detroit Tigers,American League (AL) Central,0
425,2018-07-22,July,Sunday,Boston Red Sox,Detroit Tigers,American League (AL) Central,1
426,2018-07-23,July,Monday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
427,2018-07-24,July,Tuesday,Boston Red Sox,Baltimore Orioles,American League (AL) East,0
428,2018-07-26,July,Thursday,Boston Red Sox,Minnesota Twins,American League (AL) Central,0
429,2018-07-27,July,Friday,Boston Red Sox,Minnesota Twins,American League (AL) Central,1
430,2018-07-28,July,Saturday,Boston Red Sox,Minnesota Twins,American League (AL) Central,1
431,2018-07-29,July,Sunday,Boston Red Sox,Minnesota Twins,American League (AL) Central,1
432,2018-07-30,July,Monday,Boston Red Sox,Philadelphia Phillies,American League (AL) West,1
433,2018-07-31,July,Tuesday,Boston Red Sox,Philadelphia Phillies,American League (AL) West,0
434,2018-08-02,August,Thursday,Boston Red Sox,New York Yankees,American League (AL) East,1
435,2018-08-03,August,Friday,Boston Red Sox,New York Yankees,American League (AL) East,1
436,2018-08-04,August,Saturday,Boston Red Sox,New York Yankees,American League (AL) East,1
437,2018-08-05,August,Sunday,Boston Red Sox,New York Yankees,American League (AL) East,1
438,2018-08-07,August,Tuesday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
439,2018-08-08,August,Wednesday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
440,2018-08-09,August,Thursday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,0
441,2018-08-10,August,Friday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
442,2018-08-11,August,Saturday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
443,2018-08-11,August,Saturday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
444,2018-08-12,August,Sunday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
445,2018-08-14,August,Tuesday,Boston Red Sox,Philadelphia Phillies,American League (AL) West,1
446,2018-08-15,August,Wednesday,Boston Red Sox,Philadelphia Phillies,American League (AL) West,0
447,2018-08-17,August,Friday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1
448,2018-08-18,August,Saturday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1
449,2018-08-19,August,Sunday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,0
450,2018-08-20,August,Monday,Boston Red Sox,Cleveland Guardians (Indians),American League (AL) Central,0
451,2018-08-21,August,Tuesday,Boston Red Sox,Cleveland Guardians (Indians),American League (AL) Central,0
452,2018-08-22,August,Wednesday,Boston Red Sox,Cleveland Guardians (Indians),American League (AL) Central,1
453,2018-08-23,August,Thursday,Boston Red Sox,Cleveland Guardians (Indians),American League (AL) Central,1
454,2018-08-24,August,Friday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,0
455,2018-08-25,August,Saturday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,0
456,2018-08-26,August,Sunday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,0
457,2018-08-28,August,Tuesday,Boston Red Sox,Miami Marlins,National League (NL) East,1
458,2018-08-29,August,Wednesday,Boston Red Sox,Miami Marlins,National League (NL) East,1
459,2018-08-30,August,Thursday,Boston Red Sox,Chicago White Sox,American League (AL) Central,1
460,2018-08-31,August,Friday,Boston Red Sox,Chicago White Sox,American League (AL) Central,0
461,2018-09-01,September,Saturday,Boston Red Sox,Chicago White Sox,American League (AL) Central,1
462,2018-09-02,September,Sunday,Boston Red Sox,Chicago White Sox,American League (AL) Central,0
463,2018-09-03,September,Monday,Boston Red Sox,Atlanta Braves,National League (NL) East,1
464,2018-09-04,September,Tuesday,Boston Red Sox,Atlanta Braves,National League (NL) East,1
465,2018-09-05,September,Wednesday,Boston Red Sox,Atlanta Braves,National League (NL) East,1
466,2018-09-07,September,Friday,Boston Red Sox,Houston Astros,American League (AL) Central,0
467,2018-09-08,September,Saturday,Boston Red Sox,Houston Astros,American League (AL) Central,0
468,2018-09-09,September,Sunday,Boston Red Sox,Houston Astros,American League (AL) Central,1
469,2018-09-11,September,Tuesday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
470,2018-09-12,September,Wednesday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
471,2018-09-13,September,Thursday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
472,2018-09-14,September,Friday,Boston Red Sox,New York Mets,National League (NL) East,0
473,2018-09-15,September,Saturday,Boston Red Sox,New York Mets,National League (NL) East,1
474,2018-09-16,September,Sunday,Boston Red Sox,New York Mets,National League (NL) East,1
475,2018-09-18,September,Tuesday,Boston Red Sox,New York Yankees,American League (AL) East,0
476,2018-09-19,September,Wednesday,Boston Red Sox,New York Yankees,American League (AL) East,0
477,2018-09-20,September,Thursday,Boston Red Sox,New York Yankees,American League (AL) East,1
478,2018-09-21,September,Friday,Boston Red Sox,Cleveland Guardians (Indians),American League (AL) Central,1
479,2018-09-22,September,Saturday,Boston Red Sox,Cleveland Guardians (Indians),American League (AL) Central,0
480,2018-09-23,September,Sunday,Boston Red Sox,Cleveland Guardians (Indians),American League (AL) Central,0
481,2018-09-24,September,Monday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
482,2018-09-26,September,Wednesday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
483,2018-09-26,September,Wednesday,Boston Red Sox,Baltimore Orioles,American League (AL) East,0
484,2018-09-28,September,Friday,Boston Red Sox,New York Yankees,American League (AL) East,0
485,2018-09-29,September,Saturday,Boston Red Sox,New York Yankees,American League (AL) East,0
486,2018-09-30,September,Sunday,Boston Red Sox,New York Yankees,American League (AL) East,1
487,2019-03-28,March,Thursday,Boston Red Sox,Seattle Mariners,American League (AL) Central,0
488,2019-03-29,March,Friday,Boston Red Sox,Seattle Mariners,American League (AL) Central,1
489,2019-03-30,March,Saturday,Boston Red Sox,Seattle Mariners,American League (AL) Central,0
490,2019-03-31,March,Sunday,Boston Red Sox,Seattle Mariners,American League (AL) Central,0
491,2019-04-01,April,Monday,Boston Red Sox,Oakland Athletics,American League (AL) West,0
492,2019-04-02,April,Tuesday,Boston Red Sox,Oakland Athletics,American League (AL) West,0
493,2019-04-03,April,Wednesday,Boston Red Sox,Oakland Athletics,American League (AL) West,1
494,2019-04-04,April,Thursday,Boston Red Sox,Oakland Athletics,American League (AL) West,0
495,2019-04-05,April,Friday,Boston Red Sox,Arizona Diamondbacks,National League (NL) West,0
496,2019-04-06,April,Saturday,Boston Red Sox,Arizona Diamondbacks,National League (NL) West,0
497,2019-04-07,April,Sunday,Boston Red Sox,Arizona Diamondbacks,National League (NL) West,1
498,2019-04-09,April,Tuesday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,0
499,2019-04-11,April,Thursday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
500,2019-04-12,April,Friday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
501,2019-04-13,April,Saturday,Boston Red Sox,Baltimore Orioles,American League (AL) East,0
502,2019-04-14,April,Sunday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
503,2019-04-15,April,Monday,Boston Red Sox,Baltimore Orioles,American League (AL) East,0
504,2019-04-16,April,Tuesday,Boston Red Sox,New York Yankees,American League (AL) East,0
505,2019-04-17,April,Wednesday,Boston Red Sox,New York Yankees,American League (AL) East,0
506,2019-04-19,April,Friday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1
507,2019-04-20,April,Saturday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1
508,2019-04-21,April,Sunday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1
509,2019-04-23,April,Tuesday,Boston Red Sox,Detroit Tigers,American League (AL) Central,0
510,2019-04-23,April,Tuesday,Boston Red Sox,Detroit Tigers,American League (AL) Central,0
511,2019-04-24,April,Wednesday,Boston Red Sox,Detroit Tigers,American League (AL) Central,1
512,2019-04-25,April,Thursday,Boston Red Sox,Detroit Tigers,American League (AL) Central,1
513,2019-04-27,April,Saturday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,0
514,2019-04-28,April,Sunday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,0
515,2019-04-29,April,Monday,Boston Red Sox,Oakland Athletics,American League (AL) West,1
516,2019-04-30,April,Tuesday,Boston Red Sox,Oakland Athletics,American League (AL) West,1
517,2019-05-01,May,Wednesday,Boston Red Sox,Oakland Athletics,American League (AL) West,1
518,2019-05-02,May,Thursday,Boston Red Sox,Chicago White Sox,American League (AL) Central,0
519,2019-05-03,May,Friday,Boston Red Sox,Chicago White Sox,American League (AL) Central,1
520,2019-05-04,May,Saturday,Boston Red Sox,Chicago White Sox,American League (AL) Central,1
521,2019-05-05,May,Sunday,Boston Red Sox,Chicago White Sox,American League (AL) Central,1
522,2019-05-06,May,Monday,Boston Red Sox,Baltimore Orioles,American League (AL) East,0
523,2019-05-07,May,Tuesday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
524,2019-05-08,May,Wednesday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
525,2019-05-10,May,Friday,Boston Red Sox,Seattle Mariners,American League (AL) Central,1
526,2019-05-11,May,Saturday,Boston Red Sox,Seattle Mariners,American League (AL) Central,1
527,2019-05-12,May,Sunday,Boston Red Sox,Seattle Mariners,American League (AL) Central,1
528,2019-05-14,May,Tuesday,Boston Red Sox,Colorado Rockies,National League (NL) West,0
529,2019-05-15,May,Wednesday,Boston Red Sox,Colorado Rockies,National League (NL) West,1
530,2019-05-17,May,Friday,Boston Red Sox,Houston Astros,American League (AL) Central,0
531,2019-05-18,May,Saturday,Boston Red Sox,Houston Astros,American League (AL) Central,0
532,2019-05-19,May,Sunday,Boston Red Sox,Houston Astros,American League (AL) Central,1
533,2019-05-20,May,Monday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
534,2019-05-21,May,Tuesday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,0
535,2019-05-22,May,Wednesday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
536,2019-05-23,May,Thursday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
537,2019-05-24,May,Friday,Boston Red Sox,Houston Astros,American League (AL) Central,0
538,2019-05-25,May,Saturday,Boston Red Sox,Houston Astros,American League (AL) Central,0
539,2019-05-26,May,Sunday,Boston Red Sox,Houston Astros,American League (AL) Central,1
540,2019-05-27,May,Monday,Boston Red Sox,Cleveland Guardians (Indians),American League (AL) Central,1
541,2019-05-28,May,Tuesday,Boston Red Sox,Cleveland Guardians (Indians),American League (AL) Central,0
542,2019-05-29,May,Wednesday,Boston Red Sox,Cleveland Guardians (Indians),American League (AL) Central,0
543,2019-05-31,May,Friday,Boston Red Sox,New York Yankees,American League (AL) East,0
544,2019-06-01,June,Saturday,Boston Red Sox,New York Yankees,American League (AL) East,0
545,2019-06-02,June,Sunday,Boston Red Sox,New York Yankees,American League (AL) East,1
546,2019-06-04,June,Tuesday,Boston Red Sox,Kansas City Royals,American League (AL) West,1
547,2019-06-05,June,Wednesday,Boston Red Sox,Kansas City Royals,American League (AL) West,1
548,2019-06-06,June,Thursday,Boston Red Sox,Kansas City Royals,American League (AL) West,1
549,2019-06-07,June,Friday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,0
550,2019-06-08,June,Saturday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,0
551,2019-06-08,June,Saturday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1
552,2019-06-09,June,Sunday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,0
553,2019-06-10,June,Monday,Boston Red Sox,Texas Rangers,American League (AL) Central,0
554,2019-06-11,June,Tuesday,Boston Red Sox,Texas Rangers,American League (AL) Central,0
555,2019-06-12,June,Wednesday,Boston Red Sox,Texas Rangers,American League (AL) Central,1
556,2019-06-13,June,Thursday,Boston Red Sox,Texas Rangers,American League (AL) Central,1
557,2019-06-14,June,Friday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
558,2019-06-15,June,Saturday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
559,2019-06-16,June,Sunday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
560,2019-06-17,June,Monday,Boston Red Sox,Minnesota Twins,American League (AL) Central,1
561,2019-06-18,June,Tuesday,Boston Red Sox,Minnesota Twins,American League (AL) Central,0
562,2019-06-19,June,Wednesday,Boston Red Sox,Minnesota Twins,American League (AL) Central,1
563,2019-06-21,June,Friday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
564,2019-06-22,June,Saturday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,0
565,2019-06-23,June,Sunday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,0
566,2019-06-24,June,Monday,Boston Red Sox,Chicago White Sox,American League (AL) Central,1
567,2019-06-25,June,Tuesday,Boston Red Sox,Chicago White Sox,American League (AL) Central,1
568,2019-06-26,June,Wednesday,Boston Red Sox,Chicago White Sox,American League (AL) Central,0
569,2019-06-29,June,Saturday,Boston Red Sox,New York Yankees,American League (AL) East,0
570,2019-06-30,June,Sunday,Boston Red Sox,New York Yankees,American League (AL) East,0
571,2019-07-02,July,Tuesday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
572,2019-07-03,July,Wednesday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,0
573,2019-07-04,July,Thursday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
574,2019-07-05,July,Friday,Boston Red Sox,Detroit Tigers,American League (AL) Central,1
575,2019-07-06,July,Saturday,Boston Red Sox,Detroit Tigers,American League (AL) Central,1
576,2019-07-07,July,Sunday,Boston Red Sox,Detroit Tigers,American League (AL) Central,1
577,2019-07-12,July,Friday,Boston Red Sox,Los Angeles Dodgers,National League (NL) West,1
578,2019-07-13,July,Saturday,Boston Red Sox,Los Angeles Dodgers,National League (NL) West,0
579,2019-07-14,July,Sunday,Boston Red Sox,Los Angeles Dodgers,National League (NL) West,0
580,2019-07-15,July,Monday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
581,2019-07-16,July,Tuesday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,0
582,2019-07-17,July,Wednesday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
583,2019-07-18,July,Thursday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
584,2019-07-19,July,Friday,Boston Red Sox,Baltimore Orioles,American League (AL) East,0
585,2019-07-20,July,Saturday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
586,2019-07-21,July,Sunday,Boston Red Sox,Baltimore Orioles,American League (AL) East,0
587,2019-07-22,July,Monday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1
588,2019-07-23,July,Tuesday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1
589,2019-07-24,July,Wednesday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,0
590,2019-07-25,July,Thursday,Boston Red Sox,New York Yankees,American League (AL) East,1
591,2019-07-26,July,Friday,Boston Red Sox,New York Yankees,American League (AL) East,1
592,2019-07-27,July,Saturday,Boston Red Sox,New York Yankees,American League (AL) East,1
593,2019-07-28,July,Sunday,Boston Red Sox,New York Yankees,American League (AL) East,0
594,2019-07-30,July,Tuesday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,0
595,2019-07-31,July,Wednesday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,0
596,2019-08-01,August,Thursday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,0
597,2019-08-02,August,Friday,Boston Red Sox,New York Yankees,American League (AL) East,0
598,2019-08-03,August,Saturday,Boston Red Sox,New York Yankees,American League (AL) East,0
599,2019-08-03,August,Saturday,Boston Red Sox,New York Yankees,American League (AL) East,0
600,2019-08-04,August,Sunday,Boston Red Sox,New York Yankees,American League (AL) East,0
601,2019-08-05,August,Monday,Boston Red Sox,Kansas City Royals,American League (AL) West,1
602,2019-08-06,August,Tuesday,Boston Red Sox,Kansas City Royals,American League (AL) West,0
603,2019-08-07,August,Wednesday,Boston Red Sox,Kansas City Royals,American League (AL) West,1
604,2019-08-08,August,Thursday,Boston Red Sox,Los Angeles Angels,American League (AL) West,1
605,2019-08-09,August,Friday,Boston Red Sox,Los Angeles Angels,American League (AL) West,1
606,2019-08-10,August,Saturday,Boston Red Sox,Los Angeles Angels,American League (AL) West,0
607,2019-08-11,August,Sunday,Boston Red Sox,Los Angeles Angels,American League (AL) West,0
608,2019-08-12,August,Monday,Boston Red Sox,Cleveland Guardians (Indians),American League (AL) Central,0
609,2019-08-13,August,Tuesday,Boston Red Sox,Cleveland Guardians (Indians),American League (AL) Central,1
610,2019-08-14,August,Wednesday,Boston Red Sox,Cleveland Guardians (Indians),American League (AL) Central,1
611,2019-08-16,August,Friday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
612,2019-08-17,August,Saturday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
613,2019-08-18,August,Sunday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
614,2019-08-20,August,Tuesday,Boston Red Sox,Philadelphia Phillies,American League (AL) West,0
615,2019-08-21,August,Wednesday,Boston Red Sox,Philadelphia Phillies,American League (AL) West,0
616,2019-08-23,August,Friday,Boston Red Sox,San Diego Padres,National League (NL) West,1
