Key,value_count,unique_count,unique_percent,null_count,null_percent,min_value,max_value,mean_value,median_value,stdev_value,most_common_value,least_common_value,min_length,max_length,format_count,most_common_format,least_common_format,pattern_count,most_common_pattern,least_common_pattern,ML_datatype,is_null,is_unique,is_constant
Game_Date,3000,161,5.37,0,0.0,2021-04-03,2021-10-03,N/A,N/A,N/A,2021-09-11 (54),2021-04-03 (1),10,10,1,nnnn-nn-nn (3000),nnnn-nn-nn (3000),1,date (3000),date (3000),Categorical,False,False,False
Game_Result,3000,2,0.07,0,0.0,0,1,0.6626666666666666,1.0,0.4728785188468082,1 (1988),0 (1012),1,1,1,n (3000),n (3000),1,integer (3000),integer (3000),Label,False,False,False
At_Bats,3000,7,0.23,0,0.0,1,7,3.8306666666666667,4.0,0.9683174936343873,4 (1448),7 (2),1,1,1,n (3000),n (3000),1,integer (3000),integer (3000),Numerical,False,False,False
Runs_Scored,3000,5,0.17,0,0.0,1,5,1.437,1.0,0.6404433796786343,1 (1906),5 (3),1,1,1,n (3000),n (3000),1,integer (3000),integer (3000),Numerical,False,False,False
Hits,3000,5,0.17,0,0.0,1,5,1.7206666666666666,2.0,0.7996995656832676,1 (1400),5 (9),1,1,1,n (3000),n (3000),1,integer (3000),integer (3000),Numerical,False,False,False
Home_Runs,3000,3,0.1,0,0.0,1,3,1.13,1.0,0.3499630809852437,1 (2624),3 (14),1,1,1,n (3000),n (3000),1,integer (3000),integer (3000),Numerical,False,False,False
Runs_Batted_In,3000,8,0.27,0,0.0,1,8,2.0046666666666666,2.0,1.1441508857250096,1 (1277),8 (2),1,1,1,n (3000),n (3000),1,integer (3000),integer (3000),Numerical,False,False,False
